
######## global 0x09E38920: 77 disp32 cands, 74 verified insns
  0x0121784F  fn 0x01217817..0x012178DA [read ] mov rax, qword ptr [rip + 0x8c210da]
  0x01217963  fn 0x012178DA..0x012179FA [read ] mov rax, qword ptr [rip + 0x8c20fc6]
  0x01217A7C  fn 0x01217A24..0x01217B03 [read ] mov rax, qword ptr [rip + 0x8c20ead]
  0x01217B37  fn 0x01217B10..0x01217C03 [read ] mov r10, qword ptr [rip + 0x8c20df2]
  0x01217BCB  fn 0x01217B10..0x01217C03 [read ] mov r10, qword ptr [rip + 0x8c20d5e]
  0x01217EA9  fn 0x01217C03..0x01217EC9 [read ] mov r10, qword ptr [rip + 0x8c20a80]
  0x0121E969  fn 0x0121E940..0x0121E970 [read ] mov r9, qword ptr [rip + 0x8c19fc0]
  0x0121EA17  fn 0x0121E970..0x0121EA4D [read ] mov r9, qword ptr [rip + 0x8c19f12]
  0x0121EA9B  fn 0x0121EA60..0x0121EBDD [read ] mov rax, qword ptr [rip + 0x8c19e8e]
  0x01223DE7  fn 0x01223C88..0x01223EDD [read ] mov rax, qword ptr [rip + 0x8c14b42]
  0x01225442  fn 0x01225400..0x01225472 [read ] mov rax, qword ptr [rip + 0x8c134e7]
  0x012328EA  fn 0x01232830..0x01232938 [read ] mov rax, qword ptr [rip + 0x8c0603f]
  0x01235263  fn 0x0123521D..0x012352DD [read ] mov rax, qword ptr [rip + 0x8c036c6]
  0x01235449  fn 0x01235336..0x012354C3 [read ] mov rax, qword ptr [rip + 0x8c034e0]
  0x012355C2  fn 0x01235510..0x012356B0 [read ] mov rcx, qword ptr [rip + 0x8c03367]
  0x01238421  fn 0x01238360..0x0123845B [read ] mov rax, qword ptr [rip + 0x8c00508]
  0x01238D7A  fn 0x01238D59..0x01238EFF [read ] mov rax, qword ptr [rip + 0x8bffbaf]
  0x01238E7B  fn 0x01238D59..0x01238EFF [read ] mov rax, qword ptr [rip + 0x8bffaae]
  0x01238F6A  fn 0x01238F49..0x012390EF [read ] mov rax, qword ptr [rip + 0x8bff9bf]
  0x0123906B  fn 0x01238F49..0x012390EF [read ] mov rax, qword ptr [rip + 0x8bff8be]
  0x01239168  fn 0x01239137..0x012392FA [read ] mov rax, qword ptr [rip + 0x8bff7c1]
