class,name,thunk_rva,verdict,new_vs_v1,note
ALokiBattleRoyaleSpawner,ReplaceOrSpawnChild,0x52D7730,REAL,no,tail-call target 0x560E770 on dark page 0x560E000; wrapper's own prologue looked real
ALokiBattleRoyaleSpawner,SpawnFromConfig,0x52D77E0,REAL,no,impl 0x52D77E0: 48895c2408488974241848897c242055
ALokiBattleRoyaleSpawner,SpawnSingleActor,0x52D7990,REAL,no,impl 0x52D7990: 48895c240855565741564157488bec48
ALokiBattleRoyaleSpawner,UpdateValidOffsets,0x5254180,STRIPPED,no,wrapper-hides-stub 0x5254180 -> tail-jmp 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBattleRoyaleSpawner,WasUsedThisPhase,0x52D7C20,REAL,no,impl 0x52D7C20: 488b42204533c94885c0410f95c14c03
ALokiBiomeVolume,ContainsActor,0x52D5120,DARK,no,page 0x52D5000 all-zero
ALokiBiomeVolume,ContainsLocation,0x52D5260,DARK,no,page 0x52D5000 all-zero
ALokiBiomeVolume,GetActorsOfClass,0x52D57A0,DARK,no,page 0x52D5000 all-zero
ALokiBiomeVolume,GetActorsOfClassInCircle,0x52D6160,DARK,no,page 0x52D6000 all-zero
ALokiBiomeVolume,GetSpawnersByClass,0x52D6F90,DARK,no,page 0x52D6000 all-zero
ALokiBiomeVolume,HasAnySpawners,0x52D72C0,REAL,no,tail-call target 0x5602280 on dark page 0x5602000; wrapper's own prologue looked real
ALokiBiomeVolume,HasAnySpawnersInCircle,0x52D73A0,REAL,no,tail-call target 0x56024C0 on dark page 0x5602000; wrapper's own prologue looked real
ALokiBiomeVolume,OnBiomeEntered,0x52D74A0,REAL,no,tail-call target 0x56074D0 on dark page 0x5607000; wrapper's own prologue looked real
ALokiBiome,ActivateForPhase,0x52D4CC0,REAL,no,impl 0x52D4CC0: 48895c2418555657488d6c24b94881ec
ALokiBiome,ContainsActor,0x52D5080,DARK,no,page 0x52D5000 all-zero
ALokiBiome,ContainsLocation,0x52D51C0,DARK,no,page 0x52D5000 all-zero
ALokiBiome,GetActorsOfClass,0x52D5690,DARK,no,page 0x52D5000 all-zero
ALokiBiome,GetActorsOfClassInCircle,0x52D5FC0,DARK,no,page 0x52D5000 all-zero
ALokiBiome,HasAnySpawners,0x52D7290,REAL,no,tail-call target 0x56020E0 on dark page 0x5602000; wrapper's own prologue looked real
ALokiBiome,HasAnySpawnersInCircle,0x52D72F0,REAL,no,tail-call target 0x56023D0 on dark page 0x5602000; wrapper's own prologue looked real
ULokiBiomeManagerComponent,ActivateSpawnersForPhase,0x52D4E50,REAL,no,impl 0x52D4E50: 48895c24084889742418574883ec3033
ULokiBiomeManagerComponent,AreBiomesInitialized,0x52D4F40,REAL,no,impl 0x52D4F40: 488b42204533c94885c0410f95c14c03
ULokiBiomeManagerComponent,FindContainingBiome,0x52D5550,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,FindContainingBiomeByLocation,0x52D55F0,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,GetActorsOfClassInBiome,0x52D58B0,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,GetActorsOfClassInBiomeAndCircle,0x52D5A00,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,GetActorsOfClassInBiomeAndCircleSoft,0x52D5BD0,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,GetActorsOfClassInBiomeSoft,0x52D5E00,DARK,no,page 0x52D5000 all-zero
ULokiBiomeManagerComponent,GetMinionsFromBiome,0x52D64C0,DARK,no,page 0x52D6000 all-zero
ULokiBiomeManagerComponent,GetMinionSquadSpawnersFromBiome,0x52D63E0,DARK,no,page 0x52D6000 all-zero
ULokiBiomeManagerComponent,GetOverrideForBiome,0x52D65A0,DARK,no,page 0x52D6000 all-zero
ULokiBiomeManagerComponent,GetRandomSetOfBiomes,0x52D68B0,DARK,no,page 0x52D6000 all-zero
ULokiBiomeManagerComponent,InitializeBiomes,0x52D7480,REAL,no,impl 0x52D7480: 488b42204533c04885c0410f95c04c03
ULokiBiomeManagerComponent,RegisterMinion,0x52D7610,REAL,no,tail-call target 0x560DBB0 on dark page 0x560D000; wrapper's own prologue looked real
ULokiBiomeManagerComponent,RegisterMinionSquadSpawner,0x52D76A0,REAL,no,tail-call target 0x560DC90 on dark page 0x560D000; wrapper's own prologue looked real
ULokiBiomeManagerComponent,UnregisterMinion,0x52D7B00,REAL,no,impl 0x52D7B00: 48895c24084889742418574883ec2033
ULokiBiomeManagerComponent,UnregisterMinionSquadSpawner,0x52D7B90,REAL,no,impl 0x52D7B90: 48895c24084889742418574883ec2033
ULokiBlueprintLibrary,ActorArrayToHeroArray,0x52DF920,REAL,no,impl 0x52DF920: 48895c2408488974241048897c241841
ULokiBlueprintLibrary,ActorArrayToLivingHeroArray,0x52DFA40,REAL,no,impl 0x52DFA40: 48895c2408488974241048897c241841
ULokiBlueprintLibrary,ActorIsInGame,0x52DFB60,REAL,no,impl 0x52DFB60: 48895c240848896c2418488974242057
ULokiBlueprintLibrary,ActorIsOneOf,0x52DFC00,REAL,no,impl 0x52DFC00: 48895c24084889742418574883ec3033
ULokiBlueprintLibrary,ActorIsOneOfSoft,0x52DFCF0,REAL,no,impl 0x52DFCF0: 48895c24084889742418574883ec3033
ULokiBlueprintLibrary,AddComponentByClass,0x52DFE10,REAL,no,impl 0x52DFE10: 48895c240855565741564157488bec48
ULokiBlueprintLibrary,AirshipsEnabledSplit,0x52DFFA0,REAL,no,impl 0x52DFFA0: 48895c2408574883ec2033ffc6442438
ULokiBlueprintLibrary,AlterSpawnProjectileParamsLobParams,0x52E0030,REAL,no,impl 0x52E0030: 48895c240848896c2410488974241857
ULokiBlueprintLibrary,AngleBetweenPoints,0x52E0230,REAL,no,impl 0x52E0230: 48895c240848896c2418565741564883
ULokiBlueprintLibrary,AngleBetweenVectors,0x52E0370,REAL,no,impl 0x52E0370: 48895c24085556574154415541564157
ULokiBlueprintLibrary,AreAirshipsEnabled,0x52E05C0,REAL,no,impl 0x52E05C0: 40534883ec20488b422033c94885c049
ULokiBlueprintLibrary,ArmoryEnabledSplit,0x52E05F0,REAL,no,impl 0x52E05F0: 48895c2408574883ec2033ffc6442438
ULokiBlueprintLibrary,AttachActorAndInheritVisibility,0x52E0680,REAL,no,impl 0x52E0680: 48895c240848897c241855488bec4883
ULokiBlueprintLibrary,AuthGrantGoldToActor,0x52E0890,STRIPPED,no,wrapper-hides-stub 0x52E0890 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
