path,file_size,streams,nmodules,game_base,game_size,nthreads,n_mem,n_mem64,n_ranges,bytes_captured,bytes_in_stacks,bytes_in_image,ranges_in_image,n_meminfo,meminfo_bytes,residual,max_range_end_rva,C1,C2,C4
dumps\crashpad-20260804-211019\reports\673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,43385024,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,153,755,0,755,41127688,40132608,0,0,31370,1505776,2257336,43385024,1,1,1
dumps\crashpad-20260804-230329-sub-NoMissions-1-DEATH\reports\e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,43312080,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,151,751,0,751,41091064,40108032,0,0,31460,1510096,2221016,43312080,1,1,1
dumps\crashpad-20260804-230334\reports\e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,43312080,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,151,751,0,751,41091064,40108032,0,0,31460,1510096,2221016,43312080,1,1,1
dumps\crashpad-20260804-230408-sub-NoMissions-2-DEATH\reports\5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,43450944,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,148,745,0,745,41023840,40058880,0,0,34356,1649104,2427104,43450944,1,1,1
dumps\crashpad-20260804-230413\reports\5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,43450944,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,148,745,0,745,41023840,40058880,0,0,34356,1649104,2427104,43450944,1,1,1
dumps\crashpad-20260804-230452-sub-NoMissions-3-DEATH\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,42958384,3 4 5 6 7 12 14 15 16 24 1129316353,210,0x7ff7e3cb0000,0xa9e1000,158,745,0,745,41138270,40120320,0,0,25118,1205680,1820114,42958384,1,1,1
dumps\crashpad-20260804-230458\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,42958384,3 4 5 6 7 12 14 15 16 24 1129316353,210,0x7ff7e3cb0000,0xa9e1000,158,745,0,745,41138270,40120320,0,0,25118,1205680,1820114,42958384,1,1,1
dumps\crashpad-20260804-231015\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,42958384,3 4 5 6 7 12 14 15 16 24 1129316353,210,0x7ff7e3cb0000,0xa9e1000,158,745,0,745,41138270,40120320,0,0,25118,1205680,1820114,42958384,1,1,1
dumps\crashpad-20260804-231115-sub-NoPasses-2-DEATH\reports\2b109408-47f6-4626-8f10-dea53209e8dd.dmp,41424784,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,130,709,0,709,38781392,37924864,0,0,40754,1956208,2643392,41424784,1,1,1
dumps\crashpad-20260804-231120\reports\2b109408-47f6-4626-8f10-dea53209e8dd.dmp,41424784,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,130,709,0,709,38781392,37924864,0,0,40754,1956208,2643392,41424784,1,1,1
dumps\crashpad-20260805-010927-knee-g30-2-DEATH\reports\3fa0b7d3-0b5b-4867-a766-650f55db596b.dmp,40901888,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,131,711,0,711,38676824,37814272,0,0,31260,1500496,2225064,40901888,1,1,1
dumps\crashpad-20260805-010934\reports\3fa0b7d3-0b5b-4867-a766-650f55db596b.dmp,40901888,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,131,711,0,711,38676824,37814272,0,0,31260,1500496,2225064,40901888,1,1,1
dumps\crashpad-20260805-011023-knee-g30-3-DEATH\reports\40d6100a-b98a-4cd7-a3d0-d729ef326f3c.dmp,43250128,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,151,751,0,751,41033720,40050688,0,0,31444,1509328,2216408,43250128,1,1,1
dumps\crashpad-20260805-011028\reports\40d6100a-b98a-4cd7-a3d0-d729ef326f3c.dmp,43250128,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,151,751,0,751,41033720,40050688,0,0,31444,1509328,2216408,43250128,1,1,1
dumps\crashpad-20260805-014523-tut1-DEATH\reports\89a0d1aa-2c67-45ef-8acd-55e9142634e4.dmp,43683536,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff7e3cb0000,0xa9e1000,138,727,0,727,40877778,39972864,0,0,44669,2144128,2805758,43683536,1,1,1
dumps\crashpad-20260805-014535\reports\89a0d1aa-2c67-45ef-8acd-55e9142634e4.dmp,43683536,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff7e3cb0000,0xa9e1000,138,727,0,727,40877778,39972864,0,0,44669,2144128,2805758,43683536,1,1,1
