path,dir,va,declsize,filesize,sha256,mz,pe,allzero,nonzero,entropy,head16,insns,cov,invalid
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FE3F0000_2C000.bin,crash-20260819-181559,0x298fe3f0000,0x2c000,180224,d9dd8f175deb2617f250e7b75cceea68c975aa82f9a3b3b3b489be3228bb95d2,1,1,0,122635,6.1828,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x7FF7B86C0000_1000.bin,crash-20260819-181559,0x7ff7b86c0000,0x1000,4096,6cfb72582a102e6b9a7c471aa855c9d787a75b964f71ddc79f09614cd853fef0,0,0,0,47,0.1458,48895c2408e99b543501000000000000,2037,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x7FFB52FE0000_1000.bin,crash-20260819-181559,0x7ffb52fe0000,0x1000,4096,c0661d5bb169762671b5acd64d3e6b44e343b9c5efc46b6b1ec521dc02752b53,0,0,0,543,1.3246,4883ec48498bc1e99b10edffff250000,4,18,4078
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x7FFB54900000_F000.bin,crash-20260819-181559,0x7ffb54900000,0xf000,61440,de6281d018fa9eb2efe840cf33f2e38ca38b791eb8923cd423a4e5921c4dbcfd,0,0,0,1212,0.2577,40555357488bece90bda2200ff250000,6,18,4078
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x7FFB57160000_D000.bin,crash-20260819-181559,0x7ffb57160000,0xd000,53248,22cb6e607b4fc5e5f1253d8041627f96d7eb121eb45f31bae34089a224694e4e,0,0,0,39488,5.6816,41c1c1034123c133c24103c3458b5a18,1275,4096,0
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F59E570000_10000.bin,crash-20260819-200129,0x1f59e570000,0x10000,65536,786d00a1469107fc55e570db3efa7410702959a14f86e000affccc2e4460420f,0,0,0,28558,3.7536,00000000000000000000000000000000,1764,4095,1
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F5EDD90000_10000.bin,crash-20260819-200129,0x1f5edd90000,0x10000,65536,ed87d471b1b334fdd7f0a89b5fb34f15cca6ad742b920185a69818014d25bb10,0,0,0,22809,3.1617,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F699870000_25000.bin,crash-20260819-200129,0x1f699870000,0x25000,151552,1750eeab98cd9f1cf563bb7f37d823736a1203a43008652303ce54dfe0b64c4c,1,1,0,103655,6.2640,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F6998B0000_1000.bin,crash-20260819-200129,0x1f6998b0000,0x1000,4096,f21a50d20c0747cb45aedab67084dd2adcc7a0eca05aaf7e4e0288d4bd3dc792,0,0,0,68,0.1951,48b900208999f601000048ba7d010000,2012,4096,0
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F6999D0000_2C000.bin,crash-20260819-200129,0x1f6999d0000,0x2c000,180224,3bdc8f66a36d4529affc29e389363b474444d4e82844de15e007cbafd00183c6,1,1,0,122631,6.1828,4d5a90000300000004000000ffff0000,6,12,4084
