t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
40.998,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.250,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.503,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.756,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.008,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.260,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.512,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.765,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.018,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.271,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.523,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.775,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.028,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.281,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.535,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.788,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.042,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.293,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.546,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.799,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.054,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.306,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.559,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.812,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.065,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.317,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.569,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.821,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.074,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.326,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.578,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.830,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.082,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.335,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.589,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.841,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.092,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.345,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.599,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.850,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.103,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.355,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.606,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.858,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.110,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.361,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.615,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.868,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.121,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.373,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.625,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.877,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.129,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.382,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.635,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.887,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.139,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.390,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.643,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.895,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.147,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.399,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.652,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.905,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.158,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.409,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.661,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.913,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
58.168,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.420,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.672,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.925,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
59.178,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
59.431,sweep,,,,,,,,,,,,,live=183080 free=7768 reachbit=0 bit30=21.5
59.682,sweep,,,,,,,,,,,,,live=179048 free=11800 reachbit=0 bit30=22.0
59.935,sweep,,,,,,,,,,,,,live=177384 free=13464 reachbit=0 bit30=22.2
60.187,sweep,,,,,,,,,,,,,live=177384 free=13464 reachbit=0 bit30=22.2
60.440,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
60.693,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
60.947,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
61.200,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
61.452,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
61.705,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
61.956,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
62.209,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
62.463,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
62.715,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
62.968,sweep,,,,,,,,,,,,,live=177392 free=13456 reachbit=0 bit30=22.2
