[0] catalog_purchasable_fix worker started
[hb] catMgr=0x1CC7CC3E080 iters=3299 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3316 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3333 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3350 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3367 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3384 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3401 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3418 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3435 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3452 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3469 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3486 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3503 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3520 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3537 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3554 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3571 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3588 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3605 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3622 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3639 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3656 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3673 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3690 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3707 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3724 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3741 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3758 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3775 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3792 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3809 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3826 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3843 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3860 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3877 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3894 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3911 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3928 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3945 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3962 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3979 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3996 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4013 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4030 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4047 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4064 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4081 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4098 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4115 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4132 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4149 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4166 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4183 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4200 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4217 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4234 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4251 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4268 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4285 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4302 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4319 lastPoked=1355
