rva,section,recorded_name,proposed_name,proposed_class,confidence,verdict,name_check,fn_entry,fn_offset,fn_tier,fn_extent,n_strings,evidence,why,record_kind,n_sources,sources,recorded_alts,sample_context
0x039E088,.text,D3D12Core,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x039E000 is all-zero in this dump (never decrypted),bare,1,docs/session-40-minidump-correction.txt,,[rsp+0x270]  **D3D12Core.dll + 0x39E088**
0x03AF0D8,.text,D3D12Core,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03AF000 is all-zero in this dump (never decrypted),bare,1,docs/session-40-minidump-correction.txt,,[rsp+0x278]  **D3D12Core.dll + 0x3AF0D8**
0x03BE4F5,.text,DA_MissionPoolDailyChallenge,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03BE000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 2/16] calling AddDynamicAsset for DA_MissionPoolDailyChallenge (id-Name=0x00148086 pkg=0x002881E4 cls=0x003BE4F5)
0x03BE505,.text,DA_MissionPoolDailyPCB_Armory,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03BE000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 7/16] calling AddDynamicAsset for DA_MissionPoolDailyPCB_Armory (id-Name=0x001529BA pkg=0x0042C752 cls=0x003BE505)
0x03ED6AF,.text,DA_MissionPoolArmoryOnboarding,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03ED000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 1/16] calling AddDynamicAsset for DA_MissionPoolArmoryOnboarding (id-Name=0x004AF6C3 pkg=0x004119BA cls=0x003ED6AF)
0x03F2DC6,.text,DA_MissionPoolTutorialMaps,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03F2000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [11/16] calling AddDynamicAsset for DA_MissionPoolTutorialMaps (id-Name=0x0012225E pkg=0x001D0A37 cls=0x003F2DC6)
0x03F4AAA,.text,MissionPool,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03F4000 is all-zero in this dump (never decrypted),bare,2,docs/missions-nativecall12-marker.txt;docs/session-57-da-resolution.txt,,"[4] missionIds=330 (id0={0x162B8,0x200302937}) poolIds=16 (id0={0x16F06,0x3F4AAA})"
0x03FB29E,.text,ArmoryDaily_PlayAGame,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03FB000 is all-zero in this dump (never decrypted),bare,4,tools/sigbypass-mod/missions_assettest.cpp;tools/sigbypass-mod/missions_populate2.cpp,FNames;MissionPool,"//   ArmoryDaily_PlayAGame=0x003FB29E ; Hero=0x0001A568 (control), Alchemist=<resolved live>."
0x03FE76D,.text,ArmoryDaily_PlayAGame,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x03FE000 is all-zero in this dump (never decrypted),bare,2,docs/missions-nativecall9-marker.txt;docs/session-57-da-resolution.txt,,"[4] TEST   Mission: id={Type=Mission Name=ArmoryDaily_PlayAGame} raw={0x162B8,0x3FE76D} DA=0x0 class=''"
0x0400000,.text,HasOutParms,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0400000 is all-zero in this dump (never decrypted),bare,3,tools/re/cheat_enum.py;tools/re/ufunc_params.py;tools/re/ufunc_survey.py,RepSkip;ReferenceParm;BPEvent,"(0x08000000, ""BPEvent""), (0x00400000, ""HasOutParms""), (0x80000000, ""NetValidate"")]"
0x04119BA,.text,DA_MissionPoolArmoryOnboarding,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0411000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 1/16] calling AddDynamicAsset for DA_MissionPoolArmoryOnboarding (id-Name=0x004AF6C3 pkg=0x004119BA cls=0x003ED6AF)
0x042C752,.text,DA_MissionPoolDailyPCB_Armory,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x042C000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 7/16] calling AddDynamicAsset for DA_MissionPoolDailyPCB_Armory (id-Name=0x001529BA pkg=0x0042C752 cls=0x003BE505)
