"label","arm","outcome","died_after_arm_s","hold_s","probe","probe_text_sha","game_pid","aslr_base","launch_utc","arm_utc","end_utc","map_load_line","stage_exit","armed","probe_receipt","gft_records","exit_code","fo_dll","new_uecc","new_crashpad","note"
"s112c-trt-08","treatment","VOID_ARM","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T21:30:53.6220930Z","2026-08-07T21:34:19.2229253Z","2026-08-07T21:36:27.7814133Z","[2026.08.07-21.33.46:454][382]LogGlobalStatus: UEngine::LoadMap Load map complete /Game/Loki/Maps/Tutorial/LVL_Tutorial","1/att1","no","STALE-no-truncate","92->93","","tutorial_launch_fo.dll","","yes","no [PL] init complete within 120s -- shim never armed"
"s112c-trt-09","treatment","STAGE_DEATH","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T21:36:32.8613576Z","2026-08-07T21:39:15.0254818Z","2026-08-07T21:39:34.4271390Z","","4/att1","no","no-snapshot","93->94","","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-trt-10","treatment","DIED","260","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","55552","0x7FF6505C0000","2026-08-07T21:39:39.4994261Z","2026-08-07T21:43:06.0593954Z","2026-08-07T21:47:45.6173059Z","","0/att1","yes","truncated-ok","94->95","0x0000DEAD","tutorial_launch_fo.dll","","no",""
"s112c-ctl-11","control","STAGE_DEATH","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-07T21:47:51.3137250Z","2026-08-07T21:52:12.3683688Z","2026-08-07T21:52:31.6929093Z","","4/att1","no","no-snapshot","95->96","","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-ctl-12","control","STAGE_DEATH","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-07T21:52:36.7638023Z","2026-08-07T21:55:54.0842011Z","2026-08-07T21:56:13.3795536Z","","4/att1","no","no-snapshot","96->97","","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-ctl-13","control","VOID_DIED_PREARM","58","330","tutorial_launch_play.dll","433cf7d8f6a0770f","54404","0x7FF6505C0000","2026-08-07T21:56:18.4383050Z","2026-08-07T21:59:57.5024633Z","2026-08-07T22:00:59.0034555Z","","0/att1","no","truncated-ok","97->98","","tutorial_launch_fo.dll","","yes","died before the positive control fired -- staging death, not an armed window"
"s112c-ctl-14","control","DIED","91","330","tutorial_launch_play.dll","433cf7d8f6a0770f","55312","0x7FF6505C0000","2026-08-07T22:01:04.0913953Z","2026-08-07T22:04:30.4637327Z","2026-08-07T22:06:19.7537800Z","","0/att1","yes","truncated-ok","98->99","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-15","treatment","STAGE_DEATH","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T22:06:27.4266513Z","2026-08-07T22:09:00.6057212Z","2026-08-07T22:09:19.7924479Z","","4/att1","no","no-snapshot","99->100","","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 4)"
"s112c-trt-16","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","58772","0x7FF6505C0000","2026-08-07T22:09:24.8622459Z","2026-08-07T22:12:44.5133730Z","2026-08-07T22:18:24.7901114Z","","0/att1","yes","truncated-ok","100->101","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-17","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","53904","0x7FF6505C0000","2026-08-07T22:18:31.3376516Z","2026-08-07T22:33:32.7094792Z","2026-08-07T22:33:37.8910794Z","","3/att3","no","no-snapshot","101->103","","tutorial_launch_fo.dll","","","fk24-stage aborted, game still alive (exit 3)"
