t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,AccX,AccY,AccZ,CIV1x,CIV1y,CIV1z,CIV2x,CIV2y,CIV2z,CIV3x,CIV3y,CIV3z,CIVmaxMag2D,Mode,GravScale,AnalogMod,AirCtl,AirCtlBoost,AirCtlThr,FallLatFr
6.624,1788986293.958,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
6.764,1788986294.097,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
6.867,1788986294.201,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
6.970,1788986294.304,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.088,1788986294.421,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.191,1788986294.524,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.293,1788986294.627,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.397,1788986294.730,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.500,1788986294.833,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.602,1788986294.935,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.737,1788986295.071,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.839,1788986295.173,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
7.963,1788986295.296,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.065,1788986295.398,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.168,1788986295.501,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
