t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,Vel2D,AccX,AccY,AccZ,Acc2D,CIVmaxMag2D,Mode,GravScale,AnalogMod,TSFS,Gate,Living,F08,RandX,RandY
195.927,1788986940.173,2519.589,-1006.586,-6896.523,2.028,-1.041,-1000.000,2.279,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.1290,1,1,0x200265E1710,-0.406,0.914
196.030,1788986940.276,2519.791,-1006.690,-7000.320,1.876,-0.963,-1000.000,2.109,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.2340,1,1,0x200265E1710,-0.406,0.914
196.168,1788986940.414,2520.041,-1006.819,-7141.753,1.688,-0.867,-1000.000,1.897,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.3691,1,1,0x200265E1710,-0.406,0.914
196.271,1788986940.517,2520.208,-1006.904,-7244.723,1.562,-0.802,-1000.000,1.756,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.4759,1,1,0x200265E1710,-0.406,0.914
196.376,1788986940.622,2520.365,-1006.985,-7349.471,1.444,-0.742,-1000.000,1.624,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.5804,1,1,0x200265E1710,-0.406,0.914
196.480,1788986940.726,2520.510,-1007.059,-7454.008,1.336,-0.686,-1000.000,1.502,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.6846,1,1,0x200265E1710,-0.406,0.914
196.601,1788986940.847,2520.664,-1007.138,-7575.368,1.220,-0.626,-1000.000,1.371,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.8056,1,1,0x200265E1710,-0.406,0.914
196.709,1788986940.954,2520.791,-1007.204,-7684.115,1.124,-0.577,-1000.000,1.264,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.9140,1,1,0x200265E1710,-0.406,0.914
196.826,1788986941.072,2520.917,-1007.268,-7801.330,1.030,-0.529,-1000.000,1.158,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.0308,1,1,0x200265E1710,-0.406,0.914
196.929,1788986941.176,2521.019,-1007.320,-7904.018,0.954,-0.490,-1000.000,1.072,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.1336,1,1,0x200265E1710,-0.406,0.914
197.051,1788986941.297,2521.131,-1007.378,-8027.488,0.869,-0.446,-1000.000,0.977,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.2563,1,1,0x200265E1710,-0.406,0.914
197.155,1788986941.401,2521.218,-1007.423,-8132.466,0.804,-0.413,-1000.000,0.903,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.3609,1,1,0x200265E1710,-0.406,0.914
197.268,1788986941.513,2521.303,-1007.466,-8242.254,0.740,-0.380,-1000.000,0.832,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.4715,1,1,0x200265E1710,-0.406,0.914
197.370,1788986941.615,2521.377,-1007.504,-8347.007,0.684,-0.351,-1000.000,0.769,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,8.5748,1,1,0x200265E1710,-0.406,0.914
197.473,1788986941.718,2521.446,-1007.540,-8451.845,0.633,-0.325,-1000.000,0.711,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,8.6751,1,1,0x200265E1710,0.501,0.865
197.584,1788986941.830,2521.513,-1007.574,-8562.434,0.582,-0.299,-1000.000,0.655,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,8.7895,1,1,0x200265E1710,0.501,0.865
197.688,1788986941.934,2521.570,-1007.604,-8665.131,0.539,-0.277,-1000.000,0.606,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,8.8919,1,1,0x200265E1710,0.501,0.865
197.809,1788986942.055,2521.633,-1007.636,-8787.477,0.492,-0.253,-1000.000,0.553,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.0138,1,1,0x200265E1710,0.501,0.865
197.934,1788986942.180,2521.692,-1007.666,-8912.870,0.448,-0.230,-1000.000,0.504,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.1388,1,1,0x200265E1710,0.501,0.865
198.037,1788986942.283,2521.737,-1007.689,-9017.413,0.414,-0.213,-1000.000,0.466,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.2431,1,1,0x200265E1710,0.501,0.865
198.140,1788986942.386,2521.777,-1007.710,-9117.963,0.384,-0.197,-1000.000,0.432,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.3433,1,1,0x200265E1710,0.501,0.865
198.283,1788986942.529,2521.830,-1007.737,-9264.413,0.344,-0.177,-1000.000,0.387,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.4893,1,1,0x200265E1710,0.501,0.865
198.386,1788986942.633,2521.864,-1007.755,-9368.917,0.318,-0.164,-1000.000,0.358,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.5935,1,1,0x200265E1710,0.501,0.865
198.508,1788986942.754,2521.901,-1007.774,-9490.197,0.291,-0.149,-1000.000,0.327,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.7144,1,1,0x200265E1710,0.501,0.865
198.611,1788986942.857,2521.930,-1007.789,-9594.781,0.269,-0.138,-1000.000,0.302,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.8145,1,1,0x200265E1710,0.501,0.865
198.725,1788986942.972,2521.959,-1007.803,-9707.857,0.247,-0.127,-1000.000,0.278,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,9.9314,1,1,0x200265E1710,0.501,0.865
198.829,1788986943.075,2521.984,-1007.816,-9812.522,0.228,-0.117,-1000.000,0.257,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.0357,1,1,0x200265E1710,0.501,0.865
198.932,1788986943.177,2522.006,-1007.828,-9913.445,0.212,-0.109,-1000.000,0.238,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.1363,1,1,0x200265E1710,0.501,0.865
199.058,1788986943.305,2522.031,-1007.841,-10039.465,0.193,-0.099,-1000.000,0.217,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.2619,1,1,0x200265E1710,0.501,0.865
199.162,1788986943.407,2522.051,-1007.851,-10144.060,0.178,-0.092,-1000.000,0.200,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.3662,1,1,0x200265E1710,0.501,0.865
199.266,1788986943.512,2522.069,-1007.860,-10248.551,0.165,-0.085,-1000.000,0.185,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.4704,1,1,0x200265E1710,0.501,0.865
199.369,1788986943.614,2522.085,-1007.868,-10353.600,0.152,-0.078,-1000.000,0.171,25053.261,43270.476,0.000,50000.0,1.0000,3,1.0000,1.0000,10.5751,1,1,0x200265E1710,0.501,0.865
199.472,1788986943.718,2522.100,-1007.876,-10458.229,0.141,-0.072,-1000.000,0.158,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,10.6794,1,1,0x200265E1710,-0.363,0.932
199.576,1788986943.822,2522.114,-1007.883,-10558.540,0.131,-0.067,-1000.000,0.147,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,10.7794,1,1,0x200265E1710,-0.363,0.932
199.708,1788986943.955,2522.131,-1007.892,-10692.288,0.118,-0.061,-1000.000,0.133,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,10.9127,1,1,0x200265E1710,-0.363,0.932
199.811,1788986944.058,2522.142,-1007.898,-10796.880,0.109,-0.056,-1000.000,0.123,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.0170,1,1,0x200265E1710,-0.363,0.932
199.915,1788986944.161,2522.153,-1007.903,-10901.396,0.101,-0.052,-1000.000,0.114,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.1212,1,1,0x200265E1710,-0.363,0.932
200.018,1788986944.263,2522.163,-1007.908,-11002.846,0.094,-0.048,-1000.000,0.105,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.2181,1,1,0x200265E1710,-0.363,0.932
200.150,1788986944.396,2522.175,-1007.914,-11135.375,0.085,-0.044,-1000.000,0.095,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.3543,1,1,0x200265E1710,-0.363,0.932
200.253,1788986944.499,2522.184,-1007.919,-11240.594,0.078,-0.040,-1000.000,0.088,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.4551,1,1,0x200265E1710,-0.363,0.932
200.383,1788986944.631,2522.193,-1007.923,-11365.109,0.071,-0.037,-1000.000,0.080,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.5856,1,1,0x200265E1710,-0.363,0.932
200.488,1788986944.735,2522.200,-1007.927,-11474.616,0.066,-0.034,-1000.000,0.074,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.6927,1,1,0x200265E1710,-0.363,0.932
200.600,1788986944.846,2522.208,-1007.931,-11588.179,0.060,-0.031,-1000.000,0.068,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.8057,1,1,0x200265E1710,-0.363,0.932
